KEY,English,Russian
Level,Level,Уровень
SPIDER,SPIDER,ПАУЧОК
lsStars,"Collect stars: ", "Соберите звезд: "
lsTime,"Beat the time", "Успейте за время"
lsWeb,"Tap on the web not more than", "Тапните на паутинку не более"
lsSluggish,"Don't use Sluggish", "Не используйте \nЛизуна"
lsDestroyer,"Don't use Destroyer", "Не используйте \nРазрушителя"
lsYeti,"Don't use Yeti", "Не используйте \nЙети"
lsGroot,"Don't use Flo", "Не используйте \nФло"
lsEnergyMenu, "Next cheerfulness:", "Следующая бодрость:"
lsEnergyMenu2, "Supply of energy to get through all the levels!", "Запаситесь энергией, чтобы пройти все уровни!"

lsEnergyRestoreForCoins, "Restore all cheerfulness", "Восстановить всю бодрость"
lsInfiniteEnergy, "Unlimit cheerfulness for a day", "Бесконечная бодрость на день"

lsEnergyMenu3, "Advertising is not ready. Try later!", "Реклама не готова. Попробуйте позже!"
lsEnergyRestore, "Restore cheerfulness", "Восстановление бодрости"
lsEnergyRestore2, "Restore 1 cheerfulness", "Восстановить 1 бодрость"
lsEnergyRestore3, "Watch ADS to restore 1 cheerfulness", "Посмотреть рекламу, чтобы восстановить 1 бодрость"
lsEnergyRestore4, "Watch", "Посмотреть"
lsEnergyInfinity, "Infinity cheerfulness", "Бесконечная бодрость"
lsEnergyInfinity2, "                 Get             cheerfulness", "Получи             бодрость"
lsEnergyInfinity3, "Energy drink to get infinity cheerfulness for a day", "Энергетический напиток дает бесконечную бодрость на весь день"


lsCoinsMenu, "Watch ads", "Посмотри рекламу"
lsCoinsMenu2, "  and get 50      !", "и получи 50      !"
//lsCoinsMenu, "Want to see advertisements", "Хочешь посмотреть рекламу"
//lsCoinsMenu2, " and get 70   ?", " и получить 70   ?"
lsAdCoinsReward, "You got a reward!", "Вы получили награду!"
lsUnlockChapterMenu, "You don't have enough keys.", "У вас недостаточно ключей."
lsUnlockChapterMenu2, "You want to buy the next chapter?", "Хотите приобрести следующую главу?"
lsUnlockChapterMenu3, "Collect keys", "Собрать ключи"
lsUnlockChapterMenu4, "Open chapter", "Открыть главу"

lsRewardForCardsMenu, "Daily bonuses for a collection of cards!", "Ежедневные бонусы за коллекцию карт!"
lsRewardForCardsMenu2, "Pick up", "Забрать"

lsLevelMenu, "To complete this mission:", "Для прохождения миссии:"

marketNotCoinsMenu, "Not enought coins!", "Недостаточно монет!"
marketThanksMenu, "Thanks!", "Спасибо!"
marketSpecial, "Special offers", "Особые предложения"
coins, "Coins", "Монеты"
hints, "Hints", "Подсказки"
hint, "Hint", "Подсказка"
marketCustomization, "Customization", "Персонализация"
marketComplect, "Exellent set", "Отличный комплект"
marketComplectDesc, "Exellent set - desc", "Отличный комплект - описание"

notiferTitleSale, "Big sale! ", "Большая распродажа! "
notiferTitleEnergy, "Сheerfulness restored!", "Бодрость восстановилась!"
notiferTitleCoins, "Free coins!", "Бесплатные монеты!"
notiferTitleDay, "Visit the Spider! He has already become bored!", "Проведай Паучка! Он уже успел соскучиться!"
notiferTitleDay3, "Visit the Spider! He has already become bored!", "Проведай Паучка! Он уже успел соскучиться!"
notiferTitleDay7, "Ahead is still so much interesting, come quickly!", "Впереди ещё столько интересного, заходи скорее!"
notiferTitleDay14, "There are still so many berries not collected!", "Ещё такое огромное количество ягод не собрано!"



dailyBunus, "Daily bonus!", "Ежедневный бонус!"
dailyBunus2, "Choose one card!", "Выбери одну карту!"
completeMenuBonusTime, "Bonus time:", "Бонус за время:"
completeMenuBonusLevel, "Bonus level:", "Бонус за уровень:"
completeMenuBonusGem1, "Bonus first gem:", "Бонус за первый кристалл:"
completeMenuBonusGem2, "Bonus second gem:", "Бонус за второй кристалл:"
completeMenuLevelScore, "Level score:", "Очки за уровень:" 
completeMenuChallengeScore, "Challenge score:", "Очки за испытание:"
completeMenuScoreAll, "Total score:", "Общий счет:"
Bonus, "Bonus!", "Бонус!"
spiderSkin1, "Yellow", "Желтый"
spiderSkin2, "Donatello", "Донателло"
spiderSkin3, "Spotty", "Пятнистый"
spiderSkin4, "Cross", "Крестик"
spiderSkin5, "Spider-man", "Человек-паук"
hat1, "Empty", "Пусто"
hat2, "Cap", "Кепка"
hat3, "Hat", "Шляпа"
hat4, "Horns", "Рога"
hat5, "Nimbus", "Нимб"
berry1, "Strawberry", "Земляника"
berry2, "Gooseberry", "Крыжовник"
berry3, "Raspberry", "Малина"
berry4, "Blueberry", "Черника"
berry5, "Pineapple", "Ананас"
energy, "Cheerfulness", "Бодрость"
teleport, "Whirlwind", "Ветерок"
web, "Web", "Паутинка"
wand, "Wand", "Палочка"
key, "Key", "Ключ"

pause, "Pause", "Пауза"

marketDefaultSkin, "Primary skin", "Стандартный скин"
marketDefaultBerry, "Primary berry", "Стандартная ягода"
marketDefaultHat, "no hats", "нет шапки"
marketBonus, "If exist in collection:", "Если есть в коллекции:"
marketBonus2, "to the maximum", "к максимуму"
marketBonus3, "during the walkthrough of levels", "при прохождении уровней"
marketBonus4, "every day", "каждый день"

marketGetBooster, "Get booster!", "Получить бустер!"
marketSkinBonus, "Collect the complete collection of skins!", "Собери полную коллекцию скинов!"
marketSkinBonus2, "Increase the maximum cheerfulness by 20!", "Увеличь максимум бодрости на 20!"
marketSkinBonus3, "   Increases maximum cheerfulness by ", "   Увеличивает максимум    бодрости на "
marketHatBonus, "Collect the complete collection of hats!", "Собери полную коллекцию шапок!"
marketHatBonus2, "Get +100%     !", "Получи +100%     !"
marketBerryBonus, "Collect the complete collection of berries!", "Собери полную коллекцию ягод!"
marketBerryBonus2, "Get an additional +3        every day!!", "Получай дополнительно +3       каждый день!     "
marketFindInBooster, "Find in booster!", "Найди в бустере!"
marketBoostersDescription, "Booster is a set of 5 random cards of four types of rarity:\n\ncommon - coins, power-ups\nuncommon - berries\nrare - hats\nepic - skins", "Бустер это набор из 5 случайных карт  четырех типов редкости: \n\nобычные - монеты, бонусы\nнеобычные - ягоды\nредкие - шапки\nэпические - скины"

marketBestValue, "Best\nvalue!", "Лучшая\nцена!"
marketSpecialOffer, "Special offer", "Специальное предложение"

shop, "Shop", "Магазин"
inventory, "Inventory", "Инвентарь"
boosters, "Boosters", "Бустеры"
bonuses, "Bonuses", "Бонусы"

open, "Open", "Открыть"

ad, "ad", "реклама"
free, "free", "бесплатно"
yes, "yes", "да"
